volume,plate,gould_latin,gould_english,modern_sci,birdnet_sci,birdnet_common,confidence,reason
III,50,Sericornis laevigaster,Buff-breasted Sericornis,Sericornis frontalis,Sericornis frontalis,White-browed Scrubwren,high,laevigaster = NE race of White-browed Scrubwren
III,51,Sericornis maculatus,Spotted Sericornis,Sericornis frontalis,Sericornis frontalis,White-browed Scrubwren,high,maculatus = Spotted Scrubwren (lumped)
III,52,Sericornis magnirostris,Large-billed Sericornis,Sericornis magnirostra,Sericornis magnirostra,Large-billed Scrubwren,high,Large-billed Scrubwren
III,53,Acanthiza pusilla,Little Brown Acanthiza,Acanthiza pusilla,Acanthiza pusilla,Brown Thornbill,high,Brown Thornbill
III,54,Acanthiza Diemenensis,Tasmanian Acanthiza,Acanthiza pusilla,Acanthiza pusilla,Brown Thornbill,high,diemenensis Gould = Tasmanian race of Brown Thornbill (A. ewingii is plate 55)
III,55,Acanthiza Ewingii,Ewing’s Acanthiza,Acanthiza ewingii,Acanthiza ewingii,Tasmanian Thornbill,high,Tasmanian Thornbill
III,56,Acanthiza uropygialis,Chestnut-rumped Acanthiza,Acanthiza uropygialis,Acanthiza uropygialis,Chestnut-rumped Thornbill,high,Chestnut-rumped Thornbill
III,57,Acanthiza apicalis,Western Acanthiza,Acanthiza apicalis,Acanthiza apicalis,Inland Thornbill,high,Inland Thornbill
III,58,Acanthiza pyrrhopygia,Red-rumped Acanthiza,Acanthiza apicalis,Acanthiza apicalis,Inland Thornbill,medium,pyrrhopygia Gould (Murray scrubs) = Inland Thornbill per Gould's own comparison; could be read as Chestnut-rumped
III,59,Acanthiza inornata,Plain-coloured Acanthiza,Acanthiza inornata,Acanthiza inornata,Western Thornbill,high,Western Thornbill
III,60,Acanthiza nana,Little Acanthiza,Acanthiza nana,Acanthiza nana,Yellow Thornbill,high,Yellow Thornbill
III,61,Acanthiza lineata,Striated Acanthiza,Acanthiza lineata,Acanthiza lineata,Striated Thornbill,high,Striated Thornbill
III,62,Acanthiza Reguloides,Regulus-like Acanthiza,Acanthiza reguloides,Acanthiza reguloides,Buff-rumped Thornbill,high,Buff-rumped Thornbill
III,63,Acanthiza chrysorrhoea,Yellow-rumped Acanthiza,Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,high,Yellow-rumped Thornbill
III,64,Ephthianura albifrons,White-fronted Ephthianura,Epthianura albifrons,,,high,White-fronted Chat; not in BirdNET
III,65,Ephthianura aurifrons,Orange-fronted Ephthianura,Epthianura aurifrons,,,high,Orange Chat; not in BirdNET
III,66,Ephthianura tricolor,Tri-coloured Ephthianura,Epthianura tricolor,Epthianura tricolor,Crimson Chat,high,Crimson Chat
III,67,Xerophila leucopsis,White-faced Xerophila,Aphelocephala leucopsis,Aphelocephala leucopsis,Southern Whiteface,high,Southern Whiteface
III,68,Pyrrholaemus brunneus,Brown Red-throat,Pyrrholaemus brunneus,Pyrrholaemus brunneus,Redthroat,high,Redthroat
III,69,Origma rubricata,Rock-Warbler,Origma solitaria,,,high,rubricata = Rockwarbler; not in BirdNET
III,70,Calamanthus fuliginosus,Striated Reed-Lark,Calamanthus fuliginosus,Calamanthus fuliginosus,Striated Fieldwren,high,Striated Fieldwren
III,71,Calamanthus campestris,Field Reed-Lark,Calamanthus campestris,,,high,Rufous Fieldwren; not in BirdNET
III,72,Chthonicola minima,Little Chthonicola,Pyrrholaemus sagittatus,Pyrrholaemus sagittatus,Speckled Warbler,high,Chthonicola minima = Speckled Warbler
III,73,Anthus Australis,Australian Pipit,Anthus australis,Anthus novaeseelandiae,Australasian Pipit,high,Australian Pipit; BirdNET lumps in Australasian Pipit
III,74,Cincloramphus cruralis,Brown Cincloramphus,Cincloramphus cruralis,Cincloramphus cruralis,Brown Songlark,high,Brown Songlark
III,75,Cincloramphus cantillans,Black-breasted Cincloramphus,Cincloramphus cruralis,Cincloramphus cruralis,Brown Songlark,high,cantillans Gould = breeding male Brown Songlark
III,76,Cincloramphus rufescens,Rufous-tinted Cincloramphus,Cincloramphus mathewsi,Cincloramphus mathewsi,Rufous Songlark,high,rufescens = Rufous Songlark
III,77,Mirafra Horsfieldii,Horsfield’s Mirafra,Mirafra javanica,Mirafra javanica,Australasian Bushlark,high,horsfieldii = Horsfield's Bushlark
III,78,Estrelda bella,Fire-tailed Finch,Stagonopleura bella,Stagonopleura bella,Beautiful Firetail,high,Beautiful Firetail
III,79,Estrelda oculea,Red-eared Finch,Stagonopleura oculata,,,high,Red-eared Firetail; not in BirdNET
III,80,Estrelda Bichenovii,Bicheno’s Finch,Stizoptera bichenovii,Stizoptera bichenovii,Double-barred Finch,high,Double-barred Finch
III,81,Estrelda annulosa,Black-rumped Finch,Stizoptera bichenovii,Stizoptera bichenovii,Double-barred Finch,high,annulosa = black-rumped race of Double-barred Finch
III,82,Estrelda temporalis,Red-eyebrowed Finch,Neochmia temporalis,Neochmia temporalis,Red-browed Firetail,high,Red-browed Firetail
III,83,Estrelda Phaeton,Crimson Finch,Neochmia phaeton,Neochmia phaeton,Crimson Finch,high,Crimson Finch
III,84,Estrelda ruficauda,Red-tailed Finch,Neochmia ruficauda,,,high,Star Finch; not in BirdNET
III,85,Amadina modesta,Plain-coloured Finch,Neochmia modesta,,,high,Plum-headed Finch; not in BirdNET
III,86,Amadina Lathamii,Spotted-sided Finch,Stagonopleura guttata,,,high,lathamii = Diamond Firetail; not in BirdNET
III,87,Amadina castanotis,Chestnut-eared Finch,Taeniopygia guttata,Taeniopygia guttata,Zebra Finch,high,castanotis = Australian Zebra Finch; BirdNET lumps
III,88,Amadina Gouldiae,Gouldian Finch,Chloebia gouldiae,,,high,Gouldian Finch; not in BirdNET
III,89,Poephila mirabilis,Beautiful Grass Finch,Chloebia gouldiae,,,high,mirabilis = red-headed Gouldian Finch; not in BirdNET
III,90,Poephila acuticauda,Long-tailed Grass Finch,Poephila acuticauda,,,high,Long-tailed Finch; not in BirdNET
III,91,Poephila personata,Masked Grass Finch,Poephila personata,,,high,Masked Finch; not in BirdNET
III,92,Poephila leucotis,White-eared Grass Finch,Poephila personata,,,high,leucotis = race of Masked Finch; not in BirdNET
III,93,Poephila cincta,Banded Grass Finch,Poephila cincta,,,high,Black-throated Finch; not in BirdNET
III,94,Donacola castaneothorax,Chestnut-breasted Finch,Lonchura castaneothorax,Lonchura castaneothorax,Chestnut-breasted Munia,high,Chestnut-breasted Munia
III,95,Donacola pectoralis,White-breasted Finch,Heteromunia pectoralis,,,high,Pictorella Munia; not in BirdNET
III,96,Donacola flaviprymna,Yellow-rumped Finch,Lonchura flaviprymna,,,high,Yellow-rumped Munia; not in BirdNET
III,97,Emblema picta,Painted Finch,Emblema pictum,,,high,Painted Firetail; not in BirdNET
IV,1,Pitta strepitans,Noisy Pitta,Pitta versicolor,Pitta versicolor,Noisy Pitta,high,strepitans = Noisy Pitta
IV,2,Pitta Vigorsii,Vigors’ Pitta,Pitta elegans,Pitta elegans,Elegant Pitta,medium,vigorsii Gould = Elegant Pitta race of the Banda Sea (not an Australian bird)
IV,3,Pitta Iris,Rainbow Pitta,Pitta iris,,,high,Rainbow Pitta; not in BirdNET
IV,4,Cinclosoma punctatum,Spotted Ground-Thrush,Cinclosoma punctatum,Cinclosoma punctatum,Spotted Quail-thrush,high,Spotted Quail-thrush
IV,5,Cinclosoma castanotus,Chestnut-backed Ground-Thrush,Cinclosoma castanotum,,,high,Chestnut Quail-thrush; not in BirdNET
IV,6,Cinclosoma cinnamomeus,Cinnamon-coloured Cinclosoma,Cinclosoma cinnamomeum,,,high,Cinnamon Quail-thrush; not in BirdNET
IV,7,Oreocincla lunulata,Mountain Thrush,Zoothera lunulata,Zoothera lunulata,Bassian Thrush,high,TRAP: Oreocincla lunulata 'Mountain Thrush' = Bassian Thrush; draft's Turdus plebejus is the Central American Mountain Thrush
IV,8,Chlamydera maculata,Spotted Bower-Bird,Chlamydera maculata,Chlamydera maculata,Spotted Bowerbird,high,Spotted Bowerbird
IV,9,Chlamydera nuchalis,Great Bower-Bird,Chlamydera nuchalis,Chlamydera nuchalis,Great Bowerbird,high,Great Bowerbird
IV,10,Ptilonorhynchus holosericeus,Satin Bower-Bird,Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,Satin Bowerbird,high,holosericeus = Satin Bowerbird
IV,11,Ptilonorhynchus Smithii,Cat Bird,Ailuroedus crassirostris,Ailuroedus crassirostris,Green Catbird,high,Ptilonorhynchus smithii = Green Catbird
IV,12,Sericulus chrysocephalus,Regent Bird,Sericulus chrysocephalus,,,high,Regent Bowerbird; not in BirdNET
IV,13,Oriolus viridis,New South Wales Oriole,Oriolus sagittatus,Oriolus sagittatus,Olive-backed Oriole,high,viridis = Olive-backed Oriole
IV,14,Oriolus flavo-cinctus,Crescent-marked Oriole,Oriolus flavocinctus,Oriolus flavocinctus,Green Oriole,high,Green Oriole
IV,15,Sphecotheres Australis,Australian Sphecotheres,Sphecotheres vieilloti,Sphecotheres vieilloti,Australasian Figbird,high,australis = Australasian Figbird
IV,16,Corcorax leucopterus,White-winged Chough,Corcorax melanorhamphos,Corcorax melanorhamphos,White-winged Chough,high,leucopterus = White-winged Chough
IV,17,Struthidea cinerea,Grey Struthidea,Struthidea cinerea,Struthidea cinerea,Apostlebird,high,Apostlebird
IV,18,Corvus Coronoides,White-eyed Crow,Corvus coronoides,Corvus coronoides,Australian Raven,medium,Gould's coronoides spanned all Australian corvids; the name and likely figure are the Australian Raven
IV,19,Neomorpha Gouldii,Gould’s Neomorpha,Heteralocha acusirostris,,,high,Neomorpha gouldii = Huia (extinct); not in BirdNET
IV,20,Pomatorhinus temporalis,Temporal Pomatorhinus,Pomatostomus temporalis,Pomatostomus temporalis,Gray-crowned Babbler,high,Grey-crowned Babbler
IV,21,Pomatorhinus rubeculus,Red-breasted Pomatorhinus,Pomatostomus temporalis,Pomatostomus temporalis,Gray-crowned Babbler,high,rubeculus = N/W race of Grey-crowned Babbler
IV,22,Pomatorhinus superciliosus,White-eyebrowed Pomatorhinus,Pomatostomus superciliosus,Pomatostomus superciliosus,White-browed Babbler,high,White-browed Babbler
IV,23,Meliphaga Novae-Hollandiae,New Holland Honey-eater,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,New Holland Honeyeater,high,New Holland Honeyeater
IV,24,Meliphaga longirostris,Long-billed Honey-eater,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,New Holland Honeyeater,high,longirostris = WA race of New Holland Honeyeater
IV,25,Meliphaga sericea,White-cheeked Honey-eater,Phylidonyris niger,Phylidonyris niger,White-cheeked Honeyeater,high,sericea = White-cheeked Honeyeater
IV,26,Meliphaga mystacalis,Moustached Honey-eater,Phylidonyris niger,Phylidonyris niger,White-cheeked Honeyeater,high,mystacalis Gould = WA White-cheeked Honeyeater (gouldii); Gould: 'represents M. sericea'
IV,27,Meliphaga Australasiana,Tasmanian Honey-eater,Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,Crescent Honeyeater,high,australasiana = Crescent Honeyeater
IV,28,Glyciphila fulvifrons,Fulvous-fronted Honey-eater,Gliciphila melanops,Gliciphila melanops,Tawny-crowned Honeyeater,high,fulvifrons = Tawny-crowned Honeyeater
IV,29,Glyciphila albifrons,White-fronted Honey-eater,Purnella albifrons,Purnella albifrons,White-fronted Honeyeater,high,White-fronted Honeyeater
IV,30,Glyciphila fasciata,Fasciated Honey-eater,Ramsayornis fasciatus,,,high,Bar-breasted Honeyeater; not in BirdNET
IV,31,Glyciphila ocularis,Brown Honey-eater,Lichmera indistincta,Lichmera indistincta,Brown Honeyeater,high,ocularis = Brown Honeyeater
IV,32,Ptilotis chrysotis,Yellow-eared Honey-eater,Meliphaga lewinii,Meliphaga lewinii,Lewin's Honeyeater,high,Ptilotis chrysotis = Lewin's Honeyeater
IV,33,Ptilotis sonorus,Singing Honey-eater,Gavicalis virescens,Gavicalis virescens,Singing Honeyeater,high,sonorus = Singing Honeyeater
IV,34,Ptilotis versicolor,Varied Honey-eater,Gavicalis versicolor,,,high,Varied Honeyeater; not in BirdNET
IV,35,Ptilotis flavigula,Yellow-throated Honey-eater,Nesoptilotis flavicollis,Nesoptilotis flavicollis,Yellow-throated Honeyeater,high,flavigula = Yellow-throated Honeyeater
IV,36,Ptilotis leucotis,White-eared Honey-eater,Nesoptilotis leucotis,Nesoptilotis leucotis,White-eared Honeyeater,high,White-eared Honeyeater
IV,37,Ptilotis auricomis,Yellow-tufted Honey-eater,Lichenostomus melanops,Lichenostomus melanops,Yellow-tufted Honeyeater,high,auricomis = Yellow-tufted Honeyeater
IV,38,Ptilotis cratitius,Wattle-cheeked Honey-eater,Lichenostomus cratitius,Lichenostomus cratitius,Purple-gaped Honeyeater,high,Purple-gaped Honeyeater
IV,39,Ptilotis ornatus,Graceful Honey-eater,Ptilotula ornata,Ptilotula ornata,Yellow-plumed Honeyeater,high,Yellow-plumed Honeyeater
IV,40,Ptilotis plumulus,Plumed Honey-eater,Ptilotula plumula,,,high,Grey-fronted Honeyeater; not in BirdNET
IV,41,Ptilotis flavescens,Yellow-tinted Honey-eater,Ptilotula flavescens,,,high,Yellow-tinted Honeyeater; not in BirdNET
IV,42,Ptilotis flava,Yellow Honey-eater,Stomiopera flava,,,high,Yellow Honeyeater; not in BirdNET
IV,43,Ptilotis penicillatus,White-plumed Honey-eater,Ptilotula penicillata,Ptilotula penicillata,White-plumed Honeyeater,high,White-plumed Honeyeater
IV,44,Ptilotis fusca,Fuscous Honey-eater,Ptilotula fusca,Ptilotula fusca,Fuscous Honeyeater,high,Fuscous Honeyeater
IV,45,Ptilotis chrysops,Yellow-faced Honey-eater,Caligavis chrysops,Caligavis chrysops,Yellow-faced Honeyeater,high,Yellow-faced Honeyeater
IV,46,Ptilotis unicolor,Uniform Honey-eater,Stomiopera unicolor,Stomiopera unicolor,White-gaped Honeyeater,high,White-gaped Honeyeater
IV,47,Plectorhyncha lanceolata,Lanceolate Honey-eater,Plectorhyncha lanceolata,Plectorhyncha lanceolata,Striped Honeyeater,high,Striped Honeyeater
IV,48,Zanthomyza Phrygia,Warty-faced Honey-eater,Anthochaera phrygia,Anthochaera phrygia,Regent Honeyeater,high,Zanthomyza = Regent Honeyeater
IV,49,Melicophila picata,Pied Honey-eater,Certhionyx variegatus,Certhionyx variegatus,Pied Honeyeater,high,Melicophila picata = Pied Honeyeater
IV,50,Entomophila picta,Painted Honey-eater,Grantiella picta,Grantiella picta,Painted Honeyeater,high,Painted Honeyeater
IV,51,Entomophila albogularis,White-throated Honey-eater,Conopophila albogularis,Conopophila albogularis,Rufous-banded Honeyeater,high,"TRAP: Entomophila albogularis Gould 'White-throated Honey-eater' = Rufous-banded Honeyeater, not Melithreptus albogularis (plate IV.74)"
IV,52,Entomophila rufogularis,Red-throated Honey-eater,Conopophila rufogularis,,,high,Rufous-throated Honeyeater; not in BirdNET
IV,53,Acanthogenys rufogularis,Spiny-cheeked Honey-eater,Acanthagenys rufogularis,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,high,Spiny-cheeked Honeyeater
IV,54,Anthochaera inauris,Great Wattled Honey-eater,Anthochaera paradoxa,Anthochaera paradoxa,Yellow Wattlebird,high,inauris = Yellow Wattlebird
IV,55,Anthochaera carunculata,Wattled Honey-eater,Anthochaera carunculata,Anthochaera carunculata,Red Wattlebird,high,Red Wattlebird
IV,56,Anthochaera mellivora,Brush Wattle-Bird,Anthochaera chrysoptera,Anthochaera chrysoptera,Little Wattlebird,high,mellivora = Little (Brush) Wattlebird
IV,57,Anthochaera lunulata,Lunulated Wattle-Bird,Anthochaera lunulata,Anthochaera lunulata,Western Wattlebird,high,Western Wattlebird
IV,58,Tropidorhynchus corniculatus,Friar-Bird,Philemon corniculatus,Philemon corniculatus,Noisy Friarbird,high,Noisy Friarbird
IV,59,Tropidorhynchus argenticeps,Silvery-crowned Friar-Bird,Philemon argenticeps,,,high,Silver-crowned Friarbird; not in BirdNET
IV,60,Tropidorhynchus citreogularis,Yellow-throated Friar-Bird,Philemon citreogularis,Philemon citreogularis,Little Friarbird,high,Little Friarbird
IV,61,Acanthorhynchus tenuirostris,Slender-billed Spine-bill,Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Eastern Spinebill,high,Eastern Spinebill
IV,62,Acanthorhynchus superciliosus,White-eyebrowed Spine-bill,Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,Western Spinebill,high,Western Spinebill
IV,63,Myzomela sanguineolenta,Sanguineous Honey-eater,Myzomela sanguinolenta,Myzomela sanguinolenta,Scarlet Myzomela,high,Scarlet Myzomela
IV,64,Myzomela erythrocephala,Red-headed Honey-eater,Myzomela erythrocephala,Myzomela erythrocephala,Red-headed Myzomela,high,Red-headed Myzomela
IV,65,Myzomela pectoralis,Banded Honey-eater,Cissomela pectoralis,,,high,Banded Honeyeater; not in BirdNET
IV,66,Myzomela nigra,Black Honey-eater,Sugomel nigrum,Sugomel nigrum,Black Honeyeater,high,Black Honeyeater
IV,67,Myzomela obscura,Obscure Honey-eater,Myzomela obscura,Myzomela obscura,Dusky Myzomela,high,Dusky Myzomela
IV,68,Entomyza cyanotis,Blue-faced Entomyza,Entomyzon cyanotis,Entomyzon cyanotis,Blue-faced Honeyeater,high,Blue-faced Honeyeater
IV,69,Entomyza albipennis,White-pinioned Honey-eater,Entomyzon cyanotis,Entomyzon cyanotis,Blue-faced Honeyeater,high,albipennis = N race of Blue-faced Honeyeater
IV,70,Melithreptus validirostris,Strong-billed Honey-eater,Melithreptus validirostris,Melithreptus validirostris,Strong-billed Honeyeater,high,Strong-billed Honeyeater
IV,71,Melithreptus gularis,Black-throated Honey-eater,Melithreptus gularis,Melithreptus gularis,Black-chinned Honeyeater,high,Black-chinned Honeyeater
IV,72,Melithreptus lunulatus,Lunulated Honey-eater,Melithreptus lunatus,Melithreptus lunatus,White-naped Honeyeater,high,lunulatus = White-naped Honeyeater
IV,73,Melithreptus chloropsis,Swan River Honey-eater,Melithreptus chloropsis,Melithreptus chloropsis,Gilbert's Honeyeater,high,Gilbert's Honeyeater
IV,74,Melithreptus albogularis,White-throated Honey-eater,Melithreptus albogularis,Melithreptus albogularis,White-throated Honeyeater,high,White-throated Honeyeater
IV,75,Melithreptus melanocephalus,Black-headed Honey-eater,Melithreptus affinis,Melithreptus affinis,Black-headed Honeyeater,high,Gould's melanocephalus = Black-headed Honeyeater (Tasmania)
IV,76,Myzantha garrula,Garrulous Honey-eater,Manorina melanocephala,Manorina melanocephala,Noisy Miner,high,garrula = Noisy Miner
IV,77,Myzantha obscura,Sombre Honey-eater,Manorina flavigula,Manorina flavigula,Yellow-throated Miner,high,Myzantha obscura Gould = dark SW race of Yellow-throated Miner (M. f. obscura)
IV,78,Myzantha lutea,Luteous Honey-eater,Manorina flavigula,Manorina flavigula,Yellow-throated Miner,high,lutea = NW race of Yellow-throated Miner
IV,79,Myzantha flavigula,Yellow-throated Miner,Manorina flavigula,Manorina flavigula,Yellow-throated Miner,high,Yellow-throated Miner
IV,80,Myzantha melanophrys,Australian Bell-Bird,Manorina melanophrys,Manorina melanophrys,Bell Miner,high,Bell Miner
IV,81,Zosterops dorsalis,Grey-backed Zosterops,Zosterops lateralis,Zosterops lateralis,Silvereye,high,dorsalis = Silvereye
IV,82,Zosterops chloronotus,Green-backed Zosterops,Zosterops lateralis,Zosterops lateralis,Silvereye,high,chloronotus = WA Silvereye
IV,83,Zosterops luteus,Yellow Zosterops,Zosterops luteus,Zosterops luteus,Australian Yellow White-eye,high,Australian Yellow White-eye
IV,84,Cuculus optatus,Australian Cuckoo,Cuculus optatus,Cuculus optatus,Oriental Cuckoo,high,Oriental Cuckoo
IV,85,Cuculus inornatus,Unadorned Cuckoo,Cacomantis pallidus,Cacomantis pallidus,Pallid Cuckoo,high,Cuculus inornatus V&H = Pallid Cuckoo
IV,86,Cuculus cineraceus,Ash-coloured Cuckoo,Cacomantis flabelliformis,Cacomantis flabelliformis,Fan-tailed Cuckoo,high,cineraceus = Fan-tailed Cuckoo
IV,87,Cuculus insperatus,Brush Cuckoo,Cacomantis variolosus,Cacomantis variolosus,Brush Cuckoo,high,insperatus = Brush Cuckoo
IV,88,Chalcites osculans,Black-eared Cuckoo,Chrysococcyx osculans,Chrysococcyx osculans,Black-eared Cuckoo,high,Black-eared Cuckoo
IV,89,Chrysococcyx lucidus,Shining Cuckoo,Chrysococcyx lucidus,Chrysococcyx lucidus,Shining Bronze-Cuckoo,high,Shining Bronze-Cuckoo
IV,90,Scythrops Novae-Hollandiae,Channel-Bill,Scythrops novaehollandiae,Scythrops novaehollandiae,Channel-billed Cuckoo,high,Channel-billed Cuckoo
IV,91,Eudynamys Flindersii,Flinders’s Cuckoo,Eudynamys orientalis,Eudynamys orientalis,Pacific Koel,high,flindersii = Pacific Koel (cyanocephalus)
IV,92,Centropus Phasianus,Pheasant Cuckoo,Centropus phasianinus,Centropus phasianinus,Pheasant Coucal,high,Pheasant Coucal
IV,93,Climacteris scandens,Brown Tree-Creeper,Climacteris picumnus,Climacteris picumnus,Brown Treecreeper,high,Gould's scandens = Brown Treecreeper
IV,94,Climacteris rufa,Rufous Tree-Creeper,Climacteris rufa,,,high,Rufous Treecreeper; not in BirdNET
IV,95,Climacteris erythrops,Red-eyebrowed Tree-Creeper,Climacteris erythrops,,,high,Red-browed Treecreeper; not in BirdNET
IV,96,Climacteris melanotus,Black-backed Tree-Creeper,Climacteris picumnus,Climacteris picumnus,Brown Treecreeper,high,melanotus Gould = N race of Brown Treecreeper
IV,97,Climacteris melanura,Black-tailed Tree-Creeper,Climacteris melanurus,,,high,Black-tailed Treecreeper; not in BirdNET
IV,98,Climacteris picumnus,White-throated Tree-Creeper,Cormobates leucophaea,Cormobates leucophaea,White-throated Treecreeper,high,TRAP: Gould misapplied Climacteris picumnus to the White-throated Treecreeper; the binomial now names the Brown Treecreeper (IV.93)
IV,99,Orthonyx spinicaudus,Spine-tailed Orthonyx,Orthonyx temminckii,Orthonyx temminckii,Australian Logrunner,high,spinicaudus = Australian Logrunner
IV,100,Ptiloris paradiseus,Rifle Bird,Ptiloris paradiseus,Ptiloris paradiseus,Paradise Riflebird,high,Paradise Riflebird
IV,101,Sittella chrysoptera,Orange-winged Sittella,Daphoenositta chrysoptera,Daphoenositta chrysoptera,Varied Sittella,high,Varied Sittella (orange-winged form)
IV,102,Sittella leucocephala,White-headed Sittella,Daphoenositta chrysoptera,Daphoenositta chrysoptera,Varied Sittella,high,leucocephala = race of Varied Sittella
IV,103,Sittella leucoptera,White-winged Sittella,Daphoenositta chrysoptera,Daphoenositta chrysoptera,Varied Sittella,high,leucoptera = race of Varied Sittella
IV,104,Sittella pileata,Black-capped Sittella,Daphoenositta chrysoptera,Daphoenositta chrysoptera,Varied Sittella,high,pileata = race of Varied Sittella
V,1,Cacatua galerita,Crested Cockatoo,Cacatua galerita,Cacatua galerita,Sulphur-crested Cockatoo,high,Sulphur-crested Cockatoo
V,2,Cacatua Leadbeateri,Leadbeater’s Cockatoo,Lophochroa leadbeateri,Lophochroa leadbeateri,Pink Cockatoo,high,Pink (Major Mitchell's) Cockatoo
V,3,Cacatua sanguinea,Blood-stained Cockatoo,Cacatua sanguinea,Cacatua sanguinea,Little Corella,high,Little Corella
V,4,Cacatua Eos,Rose-breasted Cockatoo,Eolophus roseicapilla,Eolophus roseicapilla,Galah,high,Cacatua eos = Galah
V,5,Licmetis nasicus,Long-billed Cockatoo,Cacatua tenuirostris,Cacatua tenuirostris,Long-billed Corella,high,Licmetis nasicus = Long-billed Corella
V,6,Nestor productus,Philip Island Parrot,Nestor productus,,,high,Norfolk Kaka (extinct); not in BirdNET
V,7,Calyptorhynchus Banksii,Banksian Cockatoo,Calyptorhynchus banksii,Calyptorhynchus banksii,Red-tailed Black-Cockatoo,high,Red-tailed Black-Cockatoo
V,8,Calyptorhynchus macrorhynchus,Great-billed Black Cockatoo,Calyptorhynchus banksii,Calyptorhynchus banksii,Red-tailed Black-Cockatoo,high,macrorhynchus = N race of Red-tailed Black-Cockatoo
V,9,Calyptorhynchus naso,Western Black Cockatoo,Calyptorhynchus banksii,Calyptorhynchus banksii,Red-tailed Black-Cockatoo,high,naso = SW forest race of Red-tailed Black-Cockatoo
V,10,Calyptorhynchus Leachii,Leach’s Cockatoo,Calyptorhynchus lathami,Calyptorhynchus lathami,Glossy Black-Cockatoo,medium,leachii Kuhl as Gould used it = Glossy Black-Cockatoo; Kuhl's name has also been read as Red-tailed
V,11,Calyptorhynchus funereus,Funereal Cockatoo,Calyptorhynchus funereus,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,high,Yellow-tailed Black-Cockatoo
V,12,Calyptorhynchus xanthonotus,Yellow-eared Black Cockatoo,Calyptorhynchus funereus,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,high,xanthonotus = Tasmanian/S race of Yellow-tailed Black-Cockatoo
V,13,Calyptorhynchus Baudinii,Baudin’s Cockatoo,Calyptorhynchus baudinii,,,medium,"Baudin's Black-Cockatoo by name, not in BirdNET; Carnaby's (C. latirostris, in BirdNET) was then unnamed and could be the bird figured"
V,14,Callocephalon galeatum,Gang-gang Cockatoo,Callocephalon fimbriatum,Callocephalon fimbriatum,Gang-gang Cockatoo,high,galeatum = Gang-gang Cockatoo
V,15,Polytelis Barrabandi,Barraband’s Parrakeet,Polytelis swainsonii,Polytelis swainsonii,Superb Parrot,high,barrabandi = Superb Parrot
V,16,Polytelis melanura,Black-tailed Parrakeet,Polytelis anthopeplus,Polytelis anthopeplus,Regent Parrot,high,melanura = Regent Parrot
V,17,Aprosmictus scapulatus,King Lory,Alisterus scapularis,Alisterus scapularis,Australian King-Parrot,high,Aprosmictus scapulatus = Australian King-Parrot
V,18,Aprosmictus erythropterus,Red-winged Lory,Aprosmictus erythropterus,Aprosmictus erythropterus,Red-winged Parrot,high,Red-winged Parrot
V,19,Platycercus semitorquatus,Yellow-collared Parrakeet,Barnardius zonarius,Barnardius zonarius,Australian Ringneck,high,semitorquatus = Twenty-eight race of Australian Ringneck
V,20,Platycercus Baueri,Bauer’s Parrakeet,Barnardius zonarius,Barnardius zonarius,Australian Ringneck,high,baueri = nominate Port Lincoln race of Australian Ringneck
V,21,Platycercus Barnardi,Barnard’s Parrakeet,Barnardius zonarius,Barnardius zonarius,Australian Ringneck,high,barnardi = Mallee Ringneck race
V,22,Platycercus Adelaidiae,Adelaide Parrakeet,Platycercus elegans,Platycercus elegans,Crimson Rosella,high,adelaidae = Adelaide race of Crimson Rosella
V,23,Platycercus Pennantii,Pennant’s Parrakeet,Platycercus elegans,Platycercus elegans,Crimson Rosella,high,pennantii = Crimson Rosella
V,24,Platycercus flaviventris,Yellow-bellied Parrakeet,Platycercus caledonicus,Platycercus caledonicus,Green Rosella,high,flaviventris = Green Rosella
V,25,Platycercus flaveolus,Yellow-rumped Parrakeet,Platycercus elegans,Platycercus elegans,Crimson Rosella,high,flaveolus = Yellow Rosella race of Crimson Rosella
V,26,Platycercus palliceps,Pale-headed Parrakeet,Platycercus adscitus,Platycercus adscitus,Pale-headed Rosella,high,palliceps = Pale-headed Rosella
V,27,Platycercus eximius,Rose-hill Parrakeet,Platycercus eximius,Platycercus eximius,Eastern Rosella,high,Eastern Rosella
V,28,Platycercus splendidus,Splendid Parrakeet,Platycercus eximius,Platycercus eximius,Eastern Rosella,medium,splendidus Gould = golden-mantled Eastern Rosella (elecica)
V,29,Platycercus icterotis,The Earl of Derby’s Parrakeet,Platycercus icterotis,,,high,Western Rosella; not in BirdNET
V,30,Platycercus ignitus,Fiery Parrakeet,Platycercus sp.,,,low,ignitus Leadbeater: a single aberrant/hybrid rosella (Eastern x Pale-headed?); no species can be named
