plate,gould_english,gould_latin,birdnet_sci,birdnet_common,form,confidence,sci_synonyms,reason
160,Waxen Chatterer,Bombycivora garrula,Bombycilla garrulus,Bohemian Waxwing,,high,,Waxen Chatterer = Bohemian Waxwing
161,Black Lark,Alauda Tartarica,,,,high,,"Alauda Tartarica = Melanocorypha yeltoniensis, which is not a BirdNET V2.4 label; blank. Alauda tatarica Pall. = Black Lark M. yeltoniensis"
162,Calandra Lark,Alauda Calandra,Melanocorypha calandra,Calandra Lark,,high,,Alauda Calandra Pall. = Melanocorypha calandra (Calandra Lark); same species
163,Short-toed Lark,Alauda brachydactyla,Calandrella brachydactyla,Greater Short-toed Lark,,high,,Greater Short-toed Lark
164,Shore Lark,Alauda alpestris,Eremophila alpestris,Horned Lark,,high,,Shore Lark = Horned Lark
165,Crested Lark,Alauda cristata,Galerida cristata,Crested Lark,,high,,Alauda cristata Linn. = Galerida cristata (Crested Lark); same species
166,Sky Lark,Alauda arvensis,Alauda arvensis,Eurasian Skylark,,high,,Alauda arvensis Linn. = Alauda arvensis (Eurasian Skylark); same species
167,Wood Lark,Alauda arborea,Lullula arborea,Wood Lark,,high,,Alauda arborea Linn. = Lullula arborea (Wood Lark); same species
168,Bifasciated Lark,Certhilauda bifasciata,Alaemon alaudipes,Greater Hoopoe-Lark,,high,,Certhilauda bifasciata = Greater Hoopoe-Lark
169,Lark-heeled Bunting,Plectrophanes Lapponica,Calcarius lapponicus,Lapland Longspur,,high,,Lapland Bunting = Lapland Longspur
170,Snow Bunting,Plectrophanes nivalis,Plectrophenax nivalis,Snow Bunting,,high,,Plectrophanes nivalis Meyer. = Plectrophenax nivalis (Snow Bunting); same species
171,Common Bunting,Emberiza miliaria,Emberiza calandra,Corn Bunting,,high,Miliaria calandra,Common Bunting = Corn Bunting
172,Black-headed Bunting,Emberiza melanocephala,Emberiza melanocephala,Black-headed Bunting,,high,,Emberiza melanocephala Scop. = Emberiza melanocephala (Black-headed Bunting); same species
173,Yellow Bunting,Emberiza citrinella,Emberiza citrinella,Yellowhammer,,high,,"Yellow Bunting = Yellowhammer. Trap: BirdNET's ""Yellow Bunting"" is E. sulphurata"
174,Yellow-breasted Bunting,Emberiza aureola,Emberiza aureola,Yellow-breasted Bunting,,high,,Emberiza aureola Pall. = Emberiza aureola (Yellow-breasted Bunting); same species
175,Cirl Bunting,Emberiza Cirlus,Emberiza cirlus,Cirl Bunting,,high,,Emberiza Cirlus Linn. = Emberiza cirlus (Cirl Bunting); same species
176,Ortolan Bunting,Emberiza hortulana,Emberiza hortulana,Ortolan Bunting,,high,,Emberiza hortulana Linn. = Emberiza hortulana (Ortolan Bunting); same species
177,Rustic Bunting,Emberiza rustica,Emberiza rustica,Rustic Bunting,,high,,Emberiza rustica Pall. = Emberiza rustica (Rustic Bunting); same species
178,Lesbian Bunting,Emberiza Lesbia,,,,low,,Emberiza lesbia Gmel. is a doubtful name (usually sunk in Cirl Bunting or treated as a young/female bunting); no standing species. Blank
179,Meadow Bunting,Emberiza cia,Emberiza cia,Rock Bunting,,high,,"Meadow Bunting (Gould) = Rock Bunting. Trap: BirdNET's ""Meadow Bunting"" is E. cioides"
180,Pine Bunting,Emberiza pithyornus,Emberiza leucocephalos,Pine Bunting,,high,,Emberiza pithyornus Pall. = Pine Bunting
181,Cretzschmar's Bunting,Emberiza cæsia,Emberiza caesia,Cretzschmar's Bunting,,high,,Emberiza cæsia Cretz. = Emberiza caesia (Cretzschmar's Bunting); same species
182,Marsh Bunting,Emberiza palustris,Emberiza schoeniclus,Reed Bunting,subspecies,high,,Emberiza palustris Savi = the thick-billed Reed Bunting (E. schoeniclus intermedia group)
183,Reed Bunting,Emberiza schœniculus,Emberiza schoeniclus,Reed Bunting,,high,,"Emberiza schœniculus Linn. = Emberiza schoeniclus (Reed Bunting); same species, older binomial"
184,Common Sparrow,Pyrgita domestica,Passer domesticus,House Sparrow,,high,,"anchor, verified on the plate"
184,Tree Sparrow,Pyrgita montana,Passer montanus,Eurasian Tree Sparrow,,high,,"anchor, verified on the plate"
185,Spanish Sparrow,Pyrgita Hispaniolensis,Passer hispaniolensis,Spanish Sparrow,,high,,Pyrgita Hispaniolensis Cuv. = Passer hispaniolensis (Spanish Sparrow); same species
185,Alpine Sparrow,Pyrgita Cisalpina,Passer italiae,Italian Sparrow,,high,Passer domesticus italiae,Fringilla cisalpina Temm. = Italian Sparrow (a stabilised hybrid species; some lists keep it in House Sparrow)
186,Doubtful Sparrow,Pyrgita petronia,Petronia petronia,Rock Sparrow,,high,,"""Doubtful Sparrow"" is only Gould's English name: Fringilla petronia Linn. = Rock Sparrow"
187,Chaffinch,Fringilla Cælebs,Fringilla coelebs,Common Chaffinch,,high,,"Fringilla Cælebs Linn. = Fringilla coelebs (Common Chaffinch); same species, older binomial"
188,Mountain or Bramble Finch,Fringilla montifringilla,Fringilla montifringilla,Brambling,,high,,Brambling
189,Snow Finch,Fringilla nivalis,Montifringilla nivalis,White-winged Snowfinch,,high,,Snow Finch = White-winged Snowfinch
190,Winter Finch,Fringilla ? hyemalis,Junco hyemalis,Dark-eyed Junco,,decided,,"Fringilla hyemalis Linn. = Dark-eyed Junco (Gould's 'Winter Finch', a straggler); confirm the figure is a slate junco | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
191,Common or Brown Linnet,Linaria Cannabina,Linaria cannabina,Eurasian Linnet,,high,Carduelis cannabina,Linnet
192,"Mountain Linnet, or Twite",Linaria montana,Linaria flavirostris,Twite,,high,Carduelis flavirostris,Mountain Linnet = Twite
193,Mealy Redpole,Linaria canescens,,,,low,,Linaria canescens Gould (Mealy Redpoll) is variously placed in Common Redpoll (A. flammea) or Arctic/Hoary Redpoll (A. hornemanni); BirdNET keeps both apart. Blank
194,Lesser Redpole,Linaria minor,Acanthis cabaret,Lesser Redpoll,,high,Carduelis cabaret;Acanthis flammea cabaret,Linaria minor Ray = Lesser Redpoll
195,Serin Finch,Serinus flavescens,Serinus serinus,European Serin,,high,,Serin
196,Goldfinch,Carduelis elegans,Carduelis carduelis,European Goldfinch,,high,,"anchor, verified on the plate"
197,"Siskin, or Aberdevine",Carduelis spinus,Spinus spinus,Eurasian Siskin,,high,Carduelis spinus,Siskin
198,Citril Finch,Carduelis citrinella,Carduelis citrinella,Citril Finch,,high,Serinus citrinella,Citril Finch
199,Hawfinch,Coccothraustes vulgaris,Coccothraustes coccothraustes,Hawfinch,,high,,Hawfinch
200,Green Grosbeak,Coccothraustes chloris,Chloris chloris,European Greenfinch,,high,Carduelis chloris,Green Grosbeak = European Greenfinch
201,Parrot Crossbill,Loxia pityopsittacus,Loxia pytyopsittacus,Parrot Crossbill,,high,,"Loxia pityopsittacus Bechst. = Loxia pytyopsittacus (Parrot Crossbill); same species, older binomial"
202,Common Crossbill,Loxia curvirostra,Loxia curvirostra,Red Crossbill,,high,,Common Crossbill = Red Crossbill
203,White-winged Crossbill,Loxia leucoptera,Loxia leucoptera,White-winged Crossbill,,high,,White-winged (Two-barred) Crossbill
204,Pine Grosbeak,Corythus enucleator,Pinicola enucleator,Pine Grosbeak,,high,,Corythus enucleator Cuv. = Pinicola enucleator (Pine Grosbeak); same species
205,Siberian Grosbeak,Corythus longicauda,Carpodacus sibiricus,Long-tailed Rosefinch,,high,Uragus sibiricus,Corythus longicauda = Long-tailed Rosefinch
206,Scarlet Grosbeak,Erythrospiza erythrina,Carpodacus erythrinus,Common Rosefinch,,high,,Scarlet Grosbeak = Common Rosefinch
207,Rosy Grosbeak,Erythrospiza rosea,,,,high,,"Erythrospiza rosea = Carpodacus roseus, which is not a BirdNET V2.4 label; blank. Rosy Grosbeak = Pallas's Rosefinch"
208,Vinous Grosbeak,Erythrospiza githaginea,Bucanetes githagineus,Trumpeter Finch,,high,,Vinous Grosbeak = Trumpeter Finch
209,Bullfinch,Pyrrhula vulgaris,Pyrrhula pyrrhula,Eurasian Bullfinch,,high,,"Pyrrhula vulgaris Temm. = Pyrrhula pyrrhula (Eurasian Bullfinch); same species, older binomial"
210,Starling,Sturnus vulgaris,Sturnus vulgaris,European Starling,,high,,"anchor, verified on the plate"
211,Sardinian Starling,Sturnus unicolor,Sturnus unicolor,Spotless Starling,,high,,Spotless Starling
212,Rose-coloured Pastor,Pastor roseus,Pastor roseus,Rosy Starling,,high,Sturnus roseus,Rose-coloured Starling
213,Nutcracker,Nucifraga caryocatactes,Nucifraga caryocatactes,Eurasian Nutcracker,,high,,Nucifraga caryocatactes Briss. = Nucifraga caryocatactes (Eurasian Nutcracker); same species
214,Jay,Garrulus glandarius,Garrulus glandarius,Eurasian Jay,,high,,Garrulus glandarius Briss. = Garrulus glandarius (Eurasian Jay); same species
215,Siberian Jay,Garrulus infaustus,Perisoreus infaustus,Siberian Jay,,high,,Siberian Jay
216,Magpie,Pica caudata,Pica pica,Eurasian Magpie,,high,,Magpie
217,Azure-winged Magpie,Pica cyanea,Cyanopica cooki,Iberian Magpie,,decided,Cyanopica cyanus cooki,"Azure-winged Magpie, since split: Iberian (C. cooki) and East Asian (C. cyanus). Gould's European bird should be Iberian, but Wagler's name rests on Pallas's Asian bird and Gould may have figured an Asian skin; confirm | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
218,Alpine Chough,Pyrrhocorax Pyrrhocorax,Pyrrhocorax graculus,Yellow-billed Chough,,high,,Gould's 'Alpine Chough' (Temminck's use of Pyrrhocorax pyrrhocorax) = Yellow-billed Chough P. graculus; his red-billed Chough is plate 219. Trap: modern P. pyrrhocorax is the Red-billed
219,Chough,Fregilus graculus,Pyrrhocorax pyrrhocorax,Red-billed Chough,,high,,Fregilus graculus = Red-billed Chough. Trap: modern P. graculus is the Alpine Chough
220,Raven,Corvus corax,Corvus corax,Common Raven,,high,,Corvus corax Linn. = Corvus corax (Common Raven); same species
221,Carrion Crow,Corvus corone,Corvus corone,Carrion Crow,,high,,Corvus corone Linn. = Corvus corone (Carrion Crow); same species
222,Hooded Crow,Corvus cornix,Corvus cornix,Hooded Crow,,high,,Corvus cornix Linn. = Corvus cornix (Hooded Crow); same species
223,Jackdaw,Corvus monedula,Corvus monedula,Eurasian Jackdaw,,high,Coloeus monedula,Corvus monedula Linn. = Corvus monedula (Eurasian Jackdaw); same species
224,Rook,Corvus frugilegus,Corvus frugilegus,Rook,,high,,Corvus frugilegus Linn. = Corvus frugilegus (Rook); same species
225,Great Black Woodpecker,Picus martius,Dryocopus martius,Black Woodpecker,,high,,Picus martius Linn. = Dryocopus martius (Black Woodpecker); same species
226,Green Woodpecker,Picus viridis,Picus viridis,Eurasian Green Woodpecker,,high,,"Green Woodpecker (Iberian P. sharpei split, not Gould's bird)"
227,Grey-headed Green Woodpecker,Picus canus,Picus canus,Gray-headed Woodpecker,,high,,Picus canus Gmel. = Picus canus (Gray-headed Woodpecker); same species
228,White-rumped Woodpecker,Picus leuconotus,Dendrocopos leucotos,White-backed Woodpecker,,high,,White-backed Woodpecker
229,Great Spotted Woodpecker,Picus major,Dendrocopos major,Great Spotted Woodpecker,,high,,Picus major Linn. = Dendrocopos major (Great Spotted Woodpecker); same species
230,Middle Spotted Woodpecker,Picus medius,Dendrocoptes medius,Middle Spotted Woodpecker,,high,Dendrocopos medius;Leiopicus medius,Picus medius Linn. = Dendrocoptes medius (Middle Spotted Woodpecker); same species
231,Lesser Spotted Woodpecker,Picus minor,Dryobates minor,Lesser Spotted Woodpecker,,high,Dendrocopos minor,Picus minor Linn. = Dryobates minor (Lesser Spotted Woodpecker); same species
232,Three-toed Woodpecker,Apternus tridactylus,Picoides tridactylus,Eurasian Three-toed Woodpecker,,high,,Three-toed Woodpecker (Eurasian)
233,Wryneck,Yunx torquilla,Jynx torquilla,Eurasian Wryneck,,high,,Yunx torquilla Linn. = Jynx torquilla (Eurasian Wryneck); same species
234,Common Nuthatch,Sitta Europæa,Sitta europaea,Eurasian Nuthatch,,high,,Sitta Europæa Linn. = Sitta europaea (Eurasian Nuthatch); same species
235,Dalmatian Nuthatch,Sitta Syriaca,Sitta neumayer,Western Rock Nuthatch,,high,,Sitta syriaca Ehrenb. = Western Rock Nuthatch
236,Asiatic Nuthatch,Sitta Asiatica,Sitta europaea,Eurasian Nuthatch,subspecies,high,,Sitta asiatica Temm. = the white-bellied Siberian race of Eurasian Nuthatch
237,Common Creeper,Certhia familiaris,Certhia familiaris,Eurasian Treecreeper,,decided,,"Treecreeper; Short-toed Treecreeper (C. brachydactyla) was lumped then and looks near-identical; confirm the figure (it probably is familiaris, as Gould's text is British/northern) | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
238,Hoopoe,Upupa epops,Upupa epops,Eurasian Hoopoe,,high,,Upupa epops Linn. = Upupa epops (Eurasian Hoopoe); same species
239,Wall Creeper,Tichodroma phœnicoptera,Tichodroma muraria,Wallcreeper,,high,,Wallcreeper
240,Common Cuckoo,Cuculus Canorus,Cuculus canorus,Common Cuckoo,,high,,Cuculus Canorus Linn. = Cuculus canorus (Common Cuckoo); same species
241,Great Spotted Cuckoo,Cuculus glandarius,Clamator glandarius,Great Spotted Cuckoo,,high,,Cuculus glandarius Linn. = Clamator glandarius (Great Spotted Cuckoo); same species
242,American Cuckoo,Coccyzus Americanus,Coccyzus americanus,Yellow-billed Cuckoo,,high,,Yellow-billed Cuckoo
243,Wood Pigeon,Columba palumbus,Columba palumbus,Common Wood-Pigeon,,high,,Columba palumbus Linn. = Columba palumbus (Common Wood-Pigeon); same species
244,Stock Dove,Columba Œnas,Columba oenas,Stock Dove,,high,,Columba Œnas Linn. = Columba oenas (Stock Dove); same species
245,Rock Dove,Columba livia,Columba livia,Rock Pigeon,,high,,"anchor, verified on the plate"
246,Turtle Dove,Columba Turtur,Streptopelia turtur,European Turtle-Dove,,high,,Columba Turtur Linn. = Streptopelia turtur (European Turtle-Dove); same species
247,Common Pheasant,Phasianus Colchicus,Phasianus colchicus,Ring-necked Pheasant,,high,,"anchor, verified on the plate"
248,"Capercailzie, or Cock of the Wood",Tetrao Urogallus,Tetrao urogallus,Western Capercaillie,,high,,Tetrao Urogallus Linn. = Tetrao urogallus (Western Capercaillie); same species
249,Hybrid Grouse,Tetrao hybridus,,,,low,,"Hybrid Capercaillie x Black Grouse (""Rackelhahn""), not a species. Blank"
250,Black Grouse,Tetrao Tetrix,Lyrurus tetrix,Black Grouse,,high,Tetrao tetrix,Tetrao Tetrix Linn. = Lyrurus tetrix (Black Grouse); same species
251,"Hazel Grouse, or Gelinotte",Bonasia Europæa,Tetrastes bonasia,Hazel Grouse,,high,Bonasa bonasia,Hazel Grouse
252,Red Grouse,Lagopus Scoticus,Lagopus lagopus,Willow Ptarmigan,subspecies,high,Lagopus scotica,"Red Grouse = L. lagopus scotica, a subspecies of Willow Ptarmigan"
253,Common Ptarmigan,Lagopus mutus,Lagopus muta,Rock Ptarmigan,,high,Lagopus mutus,Ptarmigan
254,Rock Ptarmigan,Lagopus rupestris,Lagopus muta,Rock Ptarmigan,subspecies,high,Lagopus mutus rupestris,"Lagopus rupestris = L. muta rupestris (the American Rock Ptarmigan), same species as plate 253"
255,Willow Ptarmigan,Lagopus Saliceti,Lagopus lagopus,Willow Ptarmigan,,high,,"Lagopus saliceti Swains. = Willow Ptarmigan (Red Grouse, plate 252, is its subspecies)"
256,Short-toed Ptarmigan,Lagopus brachydactylus,,,,low,,"Lagopus brachydactylus Temm. is a doubtful name, usually sunk in Willow Ptarmigan (Lagopus lagopus), but not certainly not a Rock Ptarmigan; blank unless the plate settles it"
257,Sand Grouse,Pterocles arenarius,Pterocles orientalis,Black-bellied Sandgrouse,,high,Pterocles arenarius,Sand Grouse = Black-bellied Sandgrouse
258,Pintailed Sand Grouse,Pterocles setarius,Pterocles alchata,Pin-tailed Sandgrouse,,high,,Pterocles setarius Temm. = Pin-tailed Sandgrouse
259,European Francolin,Francolinus vulgaris,Francolinus francolinus,Black Francolin,,high,,Black Francolin
260,Red-legged Partridge,Perdix rubra,Alectoris rufa,Red-legged Partridge,,high,,"Perdix rubra Ray. = Alectoris rufa (Red-legged Partridge); same species, older binomial"
261,Barbary Partridge,Perdix petrosa,Alectoris barbara,Barbary Partridge,,high,,"Perdix petrosa Lath. = Alectoris barbara (Barbary Partridge); same species, older binomial"
261,Greek Partridge,Perdix saxatilis,Alectoris graeca,Rock Partridge,,high,,"Greek Partridge = Rock Partridge (Chukar split off, is Asian)"
262,Common Partridge,Perdix cinerea,Perdix perdix,Gray Partridge,,high,,Grey Partridge
263,Quail,Coturnix dactylisonans,Coturnix coturnix,Common Quail,,high,,Common Quail
264,Andalusian Turnix,Hemipodius tachydromus,Turnix sylvaticus,Small Buttonquail,,high,Turnix sylvatica,Andalusian Hemipode = Small Buttonquail
265,Collared Pratincole,Glareola torquata,Glareola pratincola,Collared Pratincole,,high,,Collared Pratincole
266,Cream-coloured Courser,Cursorius Isabellinus,,,,high,,"Cursorius Isabellinus = Cursorius cursor, which is not a BirdNET V2.4 label; blank. Cream-coloured Courser"
267,Great Bustard,Otis Tarda,,,,high,,"Otis Tarda = Otis tarda, which is not a BirdNET V2.4 label; blank"
268,Ruffed Bustard,Otis Houbara,,,,low,,"Houbara Bustard, now split (African C. undulata / Asian C. macqueenii); neither is a BirdNET label. Blank"
269,Little Bustard,Otis tetrax,Tetrax tetrax,Little Bustard,,high,,Otis tetrax Linn. = Tetrax tetrax (Little Bustard); same species
270,Common Crane,Grus cinerea,Grus grus,Common Crane,,high,,Common Crane
271,White Crane,Grus leucogeranus,Leucogeranus leucogeranus,Siberian Crane,,high,Grus leucogeranus,Siberian Crane
272,Numidian Demoiselle,Anthropoïdes Virgo,Anthropoides virgo,Demoiselle Crane,,high,Grus virgo,Demoiselle Crane
273,Common Heron,Ardea cinerea,Ardea cinerea,Gray Heron,,high,,Ardea cinerea Lath. = Ardea cinerea (Gray Heron); same species
274,Purple Heron,Ardea purpurea,Ardea purpurea,Purple Heron,,high,,Ardea purpurea Linn. = Ardea purpurea (Purple Heron); same species
275,Squacco Heron,Ardea comata,Ardeola ralloides,Squacco Heron,,high,,Ardea comata Pall. = Squacco Heron
276,Great Egret,Ardea alba,Ardea alba,Great Egret,,high,Egretta alba;Casmerodius albus,Ardea alba Linn. = Ardea alba (Great Egret); same species
277,Little Egret,Ardea garzetta,Egretta garzetta,Little Egret,,high,,Ardea garzetta Linn. = Egretta garzetta (Little Egret); same species
278,Rufous-backed Egret,Ardea russata,Bubulcus ibis,Cattle Egret,,high,Ardea ibis,"Ardea russata Wagl. = Cattle Egret (buff breeding dress); Western/Eastern split pending in some lists, BirdNET keeps one Bubulcus ibis"
279,Common Night Heron,Nycticorax Europæus,Nycticorax nycticorax,Black-crowned Night-Heron,,high,,"Nycticorax Europæus Steph. = Nycticorax nycticorax (Black-crowned Night-Heron); same species, older binomial"
280,Common Bittern,Botaurus stellaris,Botaurus stellaris,Great Bittern,,high,,Botaurus stellaris Steph. = Botaurus stellaris (Great Bittern); same species
281,Freckled Bittern,Botaurus lentiginosus,Botaurus lentiginosus,American Bittern,,high,,American Bittern
282,Little Bittern,Botaurus minutus,Ixobrychus minutus,Little Bittern,,high,Botaurus minutus,Botaurus minutus Selby. = Ixobrychus minutus (Little Bittern); same species
283,White Stork,Ciconia alba,Ciconia ciconia,White Stork,,high,,"Ciconia alba Bellon. = Ciconia ciconia (White Stork); same species, older binomial"
284,Black Stork,Ciconia nigra,Ciconia nigra,Black Stork,,high,,Ciconia nigra Bellon. = Ciconia nigra (Black Stork); same species
285,Maguari Stork,Ciconia Maguari,,,,high,,"Ciconia Maguari = Ciconia maguari, which is not a BirdNET V2.4 label; blank. Maguari Stork (a South American bird Gould admitted on one record)"
286,Spoonbill,Platalea leucorodia,Platalea leucorodia,Eurasian Spoonbill,,high,,Platalea leucorodia Linn. = Platalea leucorodia (Eurasian Spoonbill); same species
287,Common Flamingo,Phœnicopterus ruber,Phoenicopterus roseus,Greater Flamingo,,high,Phoenicopterus ruber roseus,Gould's Old World flamingo = Greater Flamingo P. roseus. Trap: modern P. ruber is the American Flamingo
288,Thick-kneed Bustard,Œdicnemus crepitans,Burhinus oedicnemus,Eurasian Thick-knee,,high,,Stone Curlew = Eurasian Thick-knee
289,Long-legged Plover,Himantopus melanopterus,Himantopus himantopus,Black-winged Stilt,,high,,Black-winged Stilt
290,Grey Plover,Squatarola cinerea,Pluvialis squatarola,Black-bellied Plover,,high,,Grey Plover
291,Lapwing,Vanellus cristatus,Vanellus vanellus,Northern Lapwing,,high,,"Vanellus cristatus Meyer. = Vanellus vanellus (Northern Lapwing); same species, older binomial"
292,Keptuschka Lapwing,Vanellus Keptuschka,,,,high,,"Vanellus Keptuschka = Vanellus gregarius, which is not a BirdNET V2.4 label; blank. Sociable Lapwing"
293,Spur-winged Plover,Pluvianus spinosus,Vanellus spinosus,Spur-winged Lapwing,,high,,Spur-winged Lapwing
294,Golden Plover,Charadrius pluvialis,Pluvialis apricaria,European Golden-Plover,,high,,Charadrius pluvialis Linn. = European Golden Plover
295,Dottrell,Charadrius morinellus,Charadrius morinellus,Eurasian Dotterel,,high,Eudromias morinellus,Dotterel
296,Ring Dottrell,Charadrius hiaticula,Charadrius hiaticula,Common Ringed Plover,,high,,Ringed Plover
297,Little Ring Dottrell,Charadrius minor,Charadrius dubius,Little Ringed Plover,,high,,Charadrius minor Meyer = Little Ringed Plover
298,Kentish Plover,Charadrius Cantianus,Charadrius alexandrinus,Kentish Plover,,high,Charadrius cantianus,Kentish Plover
299,Red-chested Dottrell,Charadrius pyrrhothorax,,,,low,,"Charadrius pyrrhothorax Temm. is a sand plover (Lesser Sand-Plover C. mongolus complex, now split Siberian/Tibetan); which daughter and even which sand plover is uncertain. Blank"
300,Oyster Catcher,Hæmatopus Ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,,high,,Hæmatopus Ostralegus Linn. = Haematopus ostralegus (Eurasian Oystercatcher); same species
301,Glossy Ibis,Ibis Falcinellus,Plegadis falcinellus,Glossy Ibis,,high,,Ibis Falcinellus Temm. = Plegadis falcinellus (Glossy Ibis); same species
302,Common Curlew,Numenius arquata,Numenius arquata,Eurasian Curlew,,high,,Numenius arquata Lath. = Numenius arquata (Eurasian Curlew); same species
303,Whimbrel,Numenius Phæopus,Numenius phaeopus,Whimbrel,,high,,Whimbrel (Eurasian)
304,Slender-billed Curlew,Numenius tenuirostris,,,,high,,Slender-billed Curlew is not a BirdNET label (probably extinct). Blank
305,Black-tailed Godwit,Limosa melanura,Limosa limosa,Black-tailed Godwit,,high,,Black-tailed Godwit
306,Bar-tailed Godwit,Limosa rufa,Limosa lapponica,Bar-tailed Godwit,,high,,Bar-tailed Godwit
307,Terek Godwit,Limosa Terek,Xenus cinereus,Terek Sandpiper,,high,,Terek Godwit = Terek Sandpiper
308,Avocet,Recurvirostra Avocetta,Recurvirostra avosetta,Pied Avocet,,high,,"Recurvirostra Avocetta Linn. = Recurvirostra avosetta (Pied Avocet); same species, older binomial"
309,Spotted Redshank,Totanus fuscus,Tringa erythropus,Spotted Redshank,,high,,Totanus fuscus = Spotted Redshank
310,Redshank,Totanus calidris,Tringa totanus,Common Redshank,,high,,Redshank
311,Semipalmated Sandpiper,Totanus semipalmatus,Tringa semipalmata,Willet,,high,Catoptrophorus semipalmatus,Totanus semipalmatus Temm. = Willet. Trap: Gould's English 'Semipalmated Sandpiper' is not today's C. pusilla
312,Greenshank,Totanus glottis,Tringa nebularia,Common Greenshank,,high,,Greenshank
313,Bartram's Sandpiper,Totanus Bartramius,Bartramia longicauda,Upland Sandpiper,,high,,Bartram's Sandpiper = Upland Sandpiper
314,Marsh Sandpiper,Totanus stagnatilis,Tringa stagnatilis,Marsh Sandpiper,,high,,Totanus stagnatilis Bechst. = Tringa stagnatilis (Marsh Sandpiper); same species
315,Green Sandpiper,Totanus ochropus,Tringa ochropus,Green Sandpiper,,high,,Totanus ochropus Temm. = Tringa ochropus (Green Sandpiper); same species
315,Wood Sandpiper,Totanus Glareola,Tringa glareola,Wood Sandpiper,,high,,Totanus Glareola Temm. = Tringa glareola (Wood Sandpiper); same species
316,Common Sandpiper,Totanus Hypoleucus,Actitis hypoleucos,Common Sandpiper,,high,,"Totanus Hypoleucus Temm. = Actitis hypoleucos (Common Sandpiper); same species, older binomial"
317,Spotted Sandpiper,Totanus macularius,Actitis macularius,Spotted Sandpiper,,high,Actitis macularia,Totanus macularius Temm. = Actitis macularius (Spotted Sandpiper); same species
318,Turnstone,Strepsilas collaris,Arenaria interpres,Ruddy Turnstone,,high,,Turnstone
319,Woodcock,Scolopax rusticola,Scolopax rusticola,Eurasian Woodcock,,high,,Scolopax rusticola Linn. = Scolopax rusticola (Eurasian Woodcock); same species
320,Great Snipe,Scolopax major,Gallinago media,Great Snipe,,high,,Great Snipe
321,Sabine's Snipe,Scolopax Sabini,Gallinago gallinago,Common Snipe,variant,decided,,"Sabine's Snipe is the melanistic morph of the Common Snipe, not a species; confirm Gould's figure is that dark snipe | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
321,Common Snipe,Scolopax Gallinago,Gallinago gallinago,Common Snipe,,high,,Scolopax Gallinago Linn. = Gallinago gallinago (Common Snipe); same species
322,Jack Snipe,Scolopax Gallinula,Lymnocryptes minimus,Jack Snipe,,high,,Scolopax gallinula Linn. = Jack Snipe
323,Grey Snipe,Macroramphus griseus,Limnodromus griseus,Short-billed Dowitcher,,decided,,"Macroramphus griseus = Short-billed Dowitcher by name, but Long-billed (L. scolopaceus) was lumped then and is the usual European vagrant; confirm Gould's figure | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
324,Knot,Calidris Canutus,Calidris canutus,Red Knot,,high,,Knot
325,Ruff,Machetes pugnax,Calidris pugnax,Ruff,,high,Philomachus pugnax,Machetes pugnax Cuv. = Calidris pugnax (Ruff); same species
326,Buff-breasted Sandpiper,Tringa rufescens,Calidris subruficollis,Buff-breasted Sandpiper,,high,Tryngites subruficollis,Tringa rufescens Vieill. = Buff-breasted Sandpiper
327,Pectoral Sandpiper,Tringa pectoralis,Calidris melanotos,Pectoral Sandpiper,,high,,Tringa pectoralis Say = Pectoral Sandpiper
328,Pygmy Curlew,Tringa subarquata,Calidris ferruginea,Curlew Sandpiper,,high,,Pygmy Curlew / Tringa subarquata = Curlew Sandpiper
329,"Dunlin, or Purre",Tringa variabilis,Calidris alpina,Dunlin,,high,,Dunlin
330,Schinz's Sandpiper,Tringa Schinzii,Calidris fuscicollis,White-rumped Sandpiper,,decided,,"Tringa schinzii Bonap. (not Brehm's Dunlin race) = White-rumped Sandpiper; but the name 'Schinz's Sandpiper' was also used in Europe for small Dunlins (C. alpina schinzii). Confirm on the plate (white rump, long wings) | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
331,Broad-billed Tringa,Tringa platyrhyncha,Calidris falcinellus,Broad-billed Sandpiper,,high,Limicola falcinellus,Broad-billed Sandpiper
332,Little Sandpiper,Tringa minuta,Calidris minuta,Little Stint,,high,,Little Stint
333,Temminck's Tringa,Tringa Temminckii,Calidris temminckii,Temminck's Stint,,high,,Tringa Temminckii Leisl. = Calidris temminckii (Temminck's Stint); same species
334,Purple Sandpiper,Tringa maritima,Calidris maritima,Purple Sandpiper,,high,,Tringa maritima Brunn. = Calidris maritima (Purple Sandpiper); same species
335,Sanderling,Arenaria Calidris,Calidris alba,Sanderling,,high,,Sanderling
336,Red-necked Phalarope,Phalaropus hyperboreus,Phalaropus lobatus,Red-necked Phalarope,,high,,Red-necked Phalarope
