volume,plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
III,31,,Emu Wren,Stipiturus malachurus,Stipiturus malachurus,Southern Emuwren,souemu1,eBird/Clements 2025,Q254351,2487565,5C9D20AA0157B634,Stipiturus malachurus_Southern Emuwren,,high,yes,Southern Emuwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,32,,Bristle-Bird,Dasyornis Australis,Dasyornis brachypterus,Eastern Bristlebird,easbri1,eBird/Clements 2025,Q3016885,5230413,A9C5800555AD9FA1,Dasyornis brachypterus_Eastern Bristlebird,,high,yes,Dasyornis australis = Eastern Bristlebird,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,33,,Long-billed Bristle-Bird,Dasyornis longirostris,Dasyornis longirostris,Western Bristlebird,wesbri1,eBird/Clements 2025,Q1067146,5230414,8710A7E56B3BEAF2,Dasyornis longirostris_Western Bristlebird,,high,yes,Western Bristlebird,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,34,,Noisy Brush-bird,Atrichia clamosa,Atrichornis clamosus,Noisy Scrub-bird,nosbir1,eBird/Clements 2025,Q935356,2495098,D3A5B3171909EBB1,Atrichornis clamosus_Noisy Scrub-bird,,high,yes,Noisy Scrub-bird,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,35,,Tawny Sphenœacus,Sphenoeacus galactotes,Cincloramphus timoriensis,Tawny Grassbird,tawgra3,eBird/Clements 2025,Q28858168,11008435,55BCBFAFE7888569,Cincloramphus timoriensis_Tawny Grassbird,,high,yes,Sphenoeacus galactotes = Tawny Grassbird,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,36,,Grass-loving Sphenœacus,Sphenoeacus gramineus,Poodytes gramineus,Little Grassbird,litgra1,eBird/Clements 2025,Q1591383,5231388,,Poodytes gramineus_Little Grassbird,,high,yes,Little Grassbird,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,37,,Reed Warbler,Acrocephalus Australis,Acrocephalus australis,Australian Reed Warbler,aurwar1,eBird/Clements 2025,Q1258056,5231325,BE5B70083567059A,Acrocephalus australis_Australian Reed Warbler,,high,yes,Australian Reed Warbler,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,38,,Long-billed Reed Warbler,Acrocephalus longirostris,Acrocephalus australis,Australian Reed Warbler,aurwar1,eBird/Clements 2025,Q1258056,5231325,BE5B70083567059A,Acrocephalus australis_Australian Reed Warbler,,high,yes,longirostris Gould = WA birds of Australian Reed Warbler,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,39,,Red-rumped Wren,Hylacola pyrrhopygia,Hylacola pyrrhopygia,Chestnut-rumped Heathwren,chrhea1,eBird/Clements 2025,Q3726873,7341445,,,,high,yes,Chestnut-rumped Heathwren; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,40,,Cautious Wren,Hylacola cauta,Hylacola cauta,Shy Heathwren,shyhea1,eBird/Clements 2025,Q1311532,7341438,,Hylacola cauta_Shy Heathwren,,high,yes,Shy Heathwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,41,,Great Warbler,Cysticola magna,,,,,,,,,,low,yes,"magna Gould: one specimen of unknown locality (Strickland); identity unresolved, perhaps a non-Australian Cisticola; the Kansas cross-check: Gould's own synonymy makes magna his Cysticola campestris (PZS 1845) = Rattling Cisticola C. chiniana campestris, an African bird (Natal) whose type locality 'Australia' was an error. Correct label: Cisticola chiniana_Rattling Cisticola (or none if the folio should not name an African bird)",List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,42,,Exile Warbler,Cysticola exilis,Cisticola exilis,Golden-headed Cisticola,gohcis1,eBird/Clements 2025,Q795503,2492836,7CB5F8B89DB62D7B,Cisticola exilis_Golden-headed Cisticola,,high,yes,Golden-headed Cisticola,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,43,,Lineated Warbler,Cysticola lineocapilla,Cisticola exilis,Golden-headed Cisticola,gohcis1,eBird/Clements 2025,Q795503,2492836,7CB5F8B89DB62D7B,Cisticola exilis_Golden-headed Cisticola,,high,yes,lineocapilla = N race of Golden-headed Cisticola,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,44,,Square-tailed Warbler,Cysticola isura,Cisticola exilis,Golden-headed Cisticola,gohcis1,eBird/Clements 2025,Q795503,2492836,7CB5F8B89DB62D7B,Cisticola exilis_Golden-headed Cisticola,,medium,yes,isura Gould = Golden-headed Cisticola (Gould himself doubted it distinct; female/non-breeding),List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,45,,Rufous-headed Warbler,Cysticola ruficeps,Cisticola exilis,Golden-headed Cisticola,gohcis1,eBird/Clements 2025,Q795503,2492836,7CB5F8B89DB62D7B,Cisticola exilis_Golden-headed Cisticola,,medium,yes,ruficeps Gould = Golden-headed Cisticola plumage (uniform rufous head),List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,46,,Yellow-throated Sericornis,Sericornis citreogularis,Neosericornis citreogularis,Yellow-throated Scrubwren,yetscr1,eBird/Clements 2025,Q867679,2486597,D51A7B9AE741EEB2,Sericornis citreogularis_Yellow-throated Scrubwren,,high,yes,Yellow-throated Scrubwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,47,,Sombre-coloured Sericornis,Sericornis humilis,Sericornis humilis,Tasmanian Scrubwren,tasscr1,eBird/Clements 2025,Q2223774,2486606,C9FE7134BECA24A2,Sericornis humilis_Tasmanian Scrubwren,,high,yes,Tasmanian Scrubwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,48,,Allied Sericornis,Sericornis osculans,Sericornis frontalis,White-browed Scrubwren,whbscr1,eBird/Clements 2025,Q997723,2486602,3E73B90778758708,Sericornis frontalis_White-browed Scrubwren,,high,yes,osculans Gould (S Aus) = White-browed Scrubwren (Clements lumps Spotted forms),List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,49,,White-fronted Sericornis,Sericornis frontalis,Sericornis frontalis,White-browed Scrubwren,whbscr1,eBird/Clements 2025,Q997723,2486602,3E73B90778758708,Sericornis frontalis_White-browed Scrubwren,,high,yes,White-browed Scrubwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,50,,Buff-breasted Sericornis,Sericornis laevigaster,Sericornis frontalis,White-browed Scrubwren,whbscr1,eBird/Clements 2025,Q997723,2486602,3E73B90778758708,Sericornis frontalis_White-browed Scrubwren,,high,yes,laevigaster = NE race of White-browed Scrubwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,51,,Spotted Sericornis,Sericornis maculatus,Sericornis frontalis,White-browed Scrubwren,whbscr1,eBird/Clements 2025,Q997723,2486602,3E73B90778758708,Sericornis frontalis_White-browed Scrubwren,,high,yes,maculatus = Spotted Scrubwren (lumped),List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,52,,Large-billed Sericornis,Sericornis magnirostris,Sericornis magnirostra,Large-billed Scrubwren,labscr2,eBird/Clements 2025,Q2223735,7341498,6ECFB133EF2E60C6,Sericornis magnirostra_Large-billed Scrubwren,,high,yes,Large-billed Scrubwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,53,,Little Brown Acanthiza,Acanthiza pusilla,Acanthiza pusilla,Brown Thornbill,brotho1,eBird/Clements 2025,Q264390,5230402,8F6C8E9EC201F6D5,Acanthiza pusilla_Brown Thornbill,,high,yes,Brown Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,54,,Tasmanian Acanthiza,Acanthiza Diemenensis,Acanthiza pusilla,Brown Thornbill,brotho1,eBird/Clements 2025,Q264390,5230402,8F6C8E9EC201F6D5,Acanthiza pusilla_Brown Thornbill,,high,yes,diemenensis Gould = Tasmanian race of Brown Thornbill (A. ewingii is plate 55),List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,55,,Ewing’s Acanthiza,Acanthiza Ewingii,Acanthiza ewingii,Tasmanian Thornbill,tastho1,eBird/Clements 2025,Q481672,5230404,14B9284755AAB3CF,Acanthiza ewingii_Tasmanian Thornbill,,high,yes,Tasmanian Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,56,,Chestnut-rumped Acanthiza,Acanthiza uropygialis,Acanthiza uropygialis,Chestnut-rumped Thornbill,chrtho1,eBird/Clements 2025,Q1300729,5230403,27F7E242B91684D2,Acanthiza uropygialis_Chestnut-rumped Thornbill,,high,yes,Chestnut-rumped Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,57,,Western Acanthiza,Acanthiza apicalis,Acanthiza apicalis,Inland Thornbill,inltho1,eBird/Clements 2025,Q1301452,7341406,4413633D7302ECEE,Acanthiza apicalis_Inland Thornbill,,high,yes,Inland Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,58,,Red-rumped Acanthiza,Acanthiza pyrrhopygia,Acanthiza apicalis,Inland Thornbill,inltho1,eBird/Clements 2025,Q1301452,7341406,4413633D7302ECEE,Acanthiza apicalis_Inland Thornbill,,medium,yes,pyrrhopygia Gould (Murray scrubs) = Inland Thornbill per Gould's own comparison; could be read as Chestnut-rumped,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,59,,Plain-coloured Acanthiza,Acanthiza inornata,Acanthiza inornata,Western Thornbill,westho1,eBird/Clements 2025,Q1318200,5230408,6601168A1B3CCECF,Acanthiza inornata_Western Thornbill,,high,yes,Western Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,60,,Little Acanthiza,Acanthiza nana,Acanthiza nana,Yellow Thornbill,yeltho1,eBird/Clements 2025,Q927380,5230410,D6D77AFA8F88D1EE,Acanthiza nana_Yellow Thornbill,,high,yes,Yellow Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,61,,Striated Acanthiza,Acanthiza lineata,Acanthiza lineata,Striated Thornbill,strtho1,eBird/Clements 2025,Q1301469,5230401,D0A0845AEB53B7CE,Acanthiza lineata_Striated Thornbill,,high,yes,Striated Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,62,,Regulus-like Acanthiza,Acanthiza Reguloides,Acanthiza reguloides,Buff-rumped Thornbill,burtho1,eBird/Clements 2025,Q1301064,5230407,7B1144C85E6A53B9,Acanthiza reguloides_Buff-rumped Thornbill,,high,yes,Buff-rumped Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,63,,Yellow-rumped Acanthiza,Acanthiza chrysorrhoea,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,yertho1,eBird/Clements 2025,Q1300214,5230400,B1B0E34392DDCE8B,Acanthiza chrysorrhoa_Yellow-rumped Thornbill,,high,yes,Yellow-rumped Thornbill,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,64,,White-fronted Ephthianura,Ephthianura albifrons,Epthianura albifrons,White-fronted Chat,whfcha1,eBird/Clements 2025,Q941879,2487110,54C1FDE5D8CB60AA,,,high,yes,White-fronted Chat; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,65,,Orange-fronted Ephthianura,Ephthianura aurifrons,Epthianura aurifrons,Orange Chat,oracha1,eBird/Clements 2025,Q255183,2487108,,,,high,yes,Orange Chat; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,66,,Tri-coloured Ephthianura,Ephthianura tricolor,Epthianura tricolor,Crimson Chat,cricha1,eBird/Clements 2025,Q1059525,2487109,6A8D3C1E2C7B2D3B,Epthianura tricolor_Crimson Chat,,high,yes,Crimson Chat,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,67,,White-faced Xerophila,Xerophila leucopsis,Aphelocephala leucopsis,Southern Whiteface,souwhi1,eBird/Clements 2025,Q1301085,2486544,AAEA810D8B5C64A5,Aphelocephala leucopsis_Southern Whiteface,,high,yes,Southern Whiteface,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,68,,Brown Red-throat,Pyrrholaemus brunneus,Pyrrholaemus brunneus,Redthroat,redthr1,eBird/Clements 2025,Q1310023,2486589,,Pyrrholaemus brunneus_Redthroat,,high,yes,Redthroat,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,69,,Rock-Warbler,Origma rubricata,Origma solitaria,Rockwarbler,rocwar1,eBird/Clements 2025,Q1587691,2486593,C2591EC18FA76F28,,,high,yes,rubricata = Rockwarbler; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,70,,Striated Reed-Lark,Calamanthus fuliginosus,Calamanthus fuliginosus,Striated Fieldwren,strfie1,eBird/Clements 2025,Q1310968,2486611,,Calamanthus fuliginosus_Striated Fieldwren,,high,yes,Striated Fieldwren,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,71,,Field Reed-Lark,Calamanthus campestris,Calamanthus campestris,Rufous Fieldwren,ruffie2,eBird/Clements 2025,,,,,,high,yes,Rufous Fieldwren; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,72,,Little Chthonicola,Chthonicola minima,Pyrrholaemus sagittatus,Speckled Warbler,spewar3,eBird/Clements 2025,Q602401,4846358,,Pyrrholaemus sagittatus_Speckled Warbler,,high,yes,Chthonicola minima = Speckled Warbler,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,73,,Australian Pipit,Anthus Australis,Anthus australis,Australian Pipit,auspip2,eBird/Clements 2025,,,,Anthus novaeseelandiae_Australasian Pipit,,high,yes,Australian Pipit; BirdNET lumps in Australasian Pipit,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,74,,Brown Cincloramphus,Cincloramphus cruralis,Cincloramphus cruralis,Brown Songlark,broson1,eBird/Clements 2025,Q27075504,5817098,,Cincloramphus cruralis_Brown Songlark,,high,yes,Brown Songlark,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,75,,Black-breasted Cincloramphus,Cincloramphus cantillans,Cincloramphus cruralis,Brown Songlark,broson1,eBird/Clements 2025,Q27075504,5817098,,Cincloramphus cruralis_Brown Songlark,,high,yes,cantillans Gould = breeding male Brown Songlark,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,76,,Rufous-tinted Cincloramphus,Cincloramphus rufescens,Cincloramphus mathewsi,Rufous Songlark,rufson1,eBird/Clements 2025,Q27075502,7660361,,Cincloramphus mathewsi_Rufous Songlark,,high,yes,rufescens = Rufous Songlark,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,77,,Horsfield’s Mirafra,Mirafra Horsfieldii,Mirafra javanica,Singing Bushlark,sinbus6,eBird/Clements 2025,,,,Mirafra javanica_Australasian Bushlark,,high,yes,horsfieldii = Horsfield's Bushlark,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,78,,Fire-tailed Finch,Estrelda bella,Stagonopleura bella,Beautiful Firetail,beafir1,eBird/Clements 2025,Q1092100,2493731,82ABFD7FC7FDD142,Stagonopleura bella_Beautiful Firetail,,high,yes,Beautiful Firetail,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,79,,Red-eared Finch,Estrelda oculea,Stagonopleura oculata,Red-eared Firetail,reefir1,eBird/Clements 2025,Q1302526,2493732,AA0BCF4A7A3422A0,,,high,yes,Red-eared Firetail; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,80,,Bicheno’s Finch,Estrelda Bichenovii,Stizoptera bichenovii,Double-barred Finch,dobfin1,eBird/Clements 2025,Q927133,2493634,,Stizoptera bichenovii_Double-barred Finch,,high,yes,Double-barred Finch,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,81,,Black-rumped Finch,Estrelda annulosa,Stizoptera bichenovii,Double-barred Finch,dobfin1,eBird/Clements 2025,Q927133,2493634,,Stizoptera bichenovii_Double-barred Finch,,high,yes,annulosa = black-rumped race of Double-barred Finch,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,82,,Red-eyebrowed Finch,Estrelda temporalis,Neochmia temporalis,Red-browed Firetail,rebfir1,eBird/Clements 2025,Q693154,2493737,4359B5033F02EB92,Neochmia temporalis_Red-browed Firetail,,high,yes,Red-browed Firetail,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,83,,Crimson Finch,Estrelda Phaeton,Neochmia phaeton,Crimson Finch,crifin1,eBird/Clements 2025,Q1087738,2493738,F8A8E284C3404C59,Neochmia phaeton_Crimson Finch,,high,yes,Crimson Finch,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,84,,Red-tailed Finch,Estrelda ruficauda,Emblema ruficauda,Star Finch,stafin1,eBird/Clements 2025,Q864047,2493739,,,,high,yes,Star Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,85,,Plain-coloured Finch,Amadina modesta,Emblema modestum,Plum-headed Finch,plhfin1,eBird/Clements 2025,Q191593,2493740,,,,high,yes,Plum-headed Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,86,,Spotted-sided Finch,Amadina Lathamii,Stagonopleura guttata,Diamond Firetail,diafir1,eBird/Clements 2025,Q1208585,2493733,00AF5DA11F1AF4C7,,,high,yes,lathamii = Diamond Firetail; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,87,,Chestnut-eared Finch,Amadina castanotis,Taeniopygia guttata,Zebra Finch,zebfin2,eBird/Clements 2025,Q331065,2493633,C532D642209C9DF7,Taeniopygia guttata_Zebra Finch,,high,yes,castanotis = Australian Zebra Finch; BirdNET lumps,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,88,,Gouldian Finch,Amadina Gouldiae,Chloebia gouldiae,Gouldian Finch,goufin3,eBird/Clements 2025,Q21973758,5789080,886A8AB70ABE8AD0,,,high,yes,Gouldian Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,89,,Beautiful Grass Finch,Poephila mirabilis,Chloebia gouldiae,Gouldian Finch,goufin3,eBird/Clements 2025,Q21973758,5789080,886A8AB70ABE8AD0,,,high,yes,mirabilis = red-headed Gouldian Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,90,,Long-tailed Grass Finch,Poephila acuticauda,Poephila acuticauda,Long-tailed Finch,lotfin1,eBird/Clements 2025,Q978619,5231425,1C1BB52BA8B273D5,,,high,yes,Long-tailed Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,91,,Masked Grass Finch,Poephila personata,Poephila personata,Masked Finch,masfin1,eBird/Clements 2025,Q516793,5231423,6642D95D534720EF,,,high,yes,Masked Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,92,,White-eared Grass Finch,Poephila leucotis,Poephila personata,Masked Finch,masfin1,eBird/Clements 2025,Q516793,5231423,6642D95D534720EF,,,high,yes,leucotis = race of Masked Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,93,,Banded Grass Finch,Poephila cincta,Poephila cincta,Black-throated Finch,bltfin1,eBird/Clements 2025,Q767084,5231424,72840F177B3A5AA2,,,high,yes,Black-throated Finch; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,94,,Chestnut-breasted Finch,Donacola castaneothorax,Lonchura castaneothorax,Chestnut-breasted Munia,chbmun1,eBird/Clements 2025,Q790687,2493615,468F5860138D1FF6,Lonchura castaneothorax_Chestnut-breasted Munia,,high,yes,Chestnut-breasted Munia,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
III,95,,White-breasted Finch,Donacola pectoralis,Heteromunia pectoralis,Pictorella Munia,picmun1,eBird/Clements 2025,Q997562,2493649,E6B72B68DBDE3994,,,high,yes,Pictorella Munia; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,96,,Yellow-rumped Finch,Donacola flaviprymna,Lonchura flaviprymna,Yellow-rumped Munia,yermun1,eBird/Clements 2025,Q1302506,2493630,E3DD5ABD82DFC7E9,,,high,yes,Yellow-rumped Munia; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
III,97,,Painted Finch,Emblema picta,Emblema pictum,Painted Firetail,paifir1,eBird/Clements 2025,Q1000977,5231426,AA669EFC297C79EE,,,high,yes,Painted Firetail; not in BirdNET,List of Plates (vol. III); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,1,,Noisy Pitta,Pitta strepitans,Pitta versicolor,Noisy Pitta,noipit1,eBird/Clements 2025,Q605526,2489546,1A23027EB5B7F072,Pitta versicolor_Noisy Pitta,,high,yes,strepitans = Noisy Pitta,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
IV,2,,Vigors’ Pitta,Pitta Vigorsii,Pitta elegans,Elegant Pitta,elepit7,eBird/Clements 2025,,,,Pitta elegans_Elegant Pitta,,medium,yes,vigorsii Gould = Elegant Pitta race of the Banda Sea (not an Australian bird),List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,3,,Rainbow Pitta,Pitta Iris,Pitta iris,Rainbow Pitta,raipit1,eBird/Clements 2025,Q262493,2489554,91D7118729751991,,,high,yes,Rainbow Pitta; not in BirdNET,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,4,,Spotted Ground-Thrush,Cinclosoma punctatum,Cinclosoma punctatum,Spotted Quail-thrush,spqthr1,eBird/Clements 2025,Q1305650,2495063,074664712550DFE6,Cinclosoma punctatum_Spotted Quail-thrush,,high,yes,Spotted Quail-thrush,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
IV,5,,Chestnut-backed Ground-Thrush,Cinclosoma castanotus,Cinclosoma castanotum,Chestnut Quail-thrush,chequt1,eBird/Clements 2025,Q27075283,7341076,602C7CA70398A46A,,,high,yes,Chestnut Quail-thrush; not in BirdNET,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,6,,Cinnamon-coloured Cinclosoma,Cinclosoma cinnamomeus,Cinclosoma cinnamomeum,Cinnamon Quail-thrush,ciqthr1,eBird/Clements 2025,Q1306508,2495065,BA3865DD41240136,,,high,yes,Cinnamon Quail-thrush; not in BirdNET,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,7,,Mountain Thrush,Oreocincla lunulata,Zoothera lunulata,Bassian Thrush,oltthr1,eBird/Clements 2025,Q368710,2490897,34226B9DF98FACA5,Zoothera lunulata_Bassian Thrush,,high,yes,TRAP: Oreocincla lunulata 'Mountain Thrush' = Bassian Thrush; draft's Turdus plebejus is the Central American Mountain Thrush,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
IV,8,,Spotted Bower-Bird,Chlamydera maculata,Chlamydera maculata,Spotted Bowerbird,spobow1,eBird/Clements 2025,Q934147,2494820,2F763AC693DFE10E,Chlamydera maculata_Spotted Bowerbird,,high,yes,Spotted Bowerbird,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,9,,Great Bower-Bird,Chlamydera nuchalis,Chlamydera nuchalis,Great Bowerbird,grebow1,eBird/Clements 2025,Q1077705,2494825,0F4DA8F3F7DEB379,Chlamydera nuchalis_Great Bowerbird,,high,yes,Great Bowerbird,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
IV,10,,Satin Bower-Bird,Ptilonorhynchus holosericeus,Ptilonorhynchus violaceus,Satin Bowerbird,satbow1,eBird/Clements 2025,Q585670,5231665,5CF4CE65C81103B7,Ptilonorhynchus violaceus_Satin Bowerbird,,high,yes,holosericeus = Satin Bowerbird,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,11,,Cat Bird,Ptilonorhynchus Smithii,Ailuroedus crassirostris,Green Catbird,grecat1,eBird/Clements 2025,Q1190005,2494800,E4883000B48982AE,Ailuroedus crassirostris_Green Catbird,,high,yes,Ptilonorhynchus smithii = Green Catbird,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
IV,12,,Regent Bird,Sericulus chrysocephalus,Sericulus chrysocephalus,Regent Bowerbird,regbow1,eBird/Clements 2025,Q853470,2494814,64F67694C0438F02,,,high,yes,Regent Bowerbird; not in BirdNET,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk
IV,13,,New South Wales Oriole,Oriolus viridis,Oriolus sagittatus,Olive-backed Oriole,olbori1,eBird/Clements 2025,Q1591161,2488959,068516BB33E7967E,Oriolus sagittatus_Olive-backed Oriole,,high,yes,viridis = Olive-backed Oriole,List of Plates (vol. IV); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
